Ticker,Target,Flag,Ticker,Target,Flag
AAL,25.55,Buy,AA,19.46,Sell
AAP,132.72,Buy,BHP,48.74,Sell
ADM,36.85,Buy,CMI,151.34,Sell
AFL,48.55,Buy,CSX,66.52,Sell
ALK,58.90,Buy,GT,12.05,Sell
ANTM,262.69,Buy,IP,39.74,Sell
BAC,26.44,Buy,KHC,25.89,Sell
BHP,46.87,Buy,LE,8.58,Sell
C,62.25,Buy,MO,46.94,Sell
CAT,116.05,Buy,NSC,177.14,Sell
COP,51.70,Buy,PFE,35.50,Sell
CSCO,47.27,Buy,RCL,110.10,Sell
CVX,116.45,Buy,RIO,49.49,Sell
DIA,259.90,Buy,SCHW,38.47,Sell
DIS,132.82,Buy,WBA,52.17,Sell
DISH,31.29,Buy,,,
DLTR,93.63,Buy,,,
EMR,57.58,Buy,,,
ETFC,40.59,Buy,,,
F,8.86,Buy,,,
FDX,154.51,Buy,,,
FLR,16.42,Buy,,,
FTV,69.15,Buy,,,
GE,7.96,Buy,,,
GILD,63.02,Buy,,,
GLW,27.31,Buy,,,
HAL,18.13,Buy,,,
HMC,23.10,Buy,,,
HOG,31.45,Buy,,,
HON,161.45,Buy,,,
HPQ,18.73,Buy,,,
INTC,46.39,Buy,,,
IR,117.10,Buy,,,
JNPR,23.25,Buy,,,
LIN,186.94,Buy,,,
LYB,71.53,Buy,,,
MET,45.16,Buy,,,
MMM,159.14,Buy,,,
MNST,56.98,Buy,,,
MS,39.32,Buy,,,
NFLX,290.53,Buy,,,
NKE,80.76,Buy,,,
OXY,43.55,Buy,,,
PCAR,63.92,Buy,,,
RGR,39.70,Buy,,,
SAP,119.52,Buy,,,
SFIX,19.34,Buy,,,
SNA,145.94,Buy,,,
TAP,50.83,Buy,,,
TJX,51.04,Buy,,,
TMO,274.21,Buy,,,
TRIP,37.63,Buy,,,
TSCO,99.84,Buy,,,
UAA,18.13,Buy,,,
UAL,82.33,Buy,,,
ULTA,322.40,Buy,,,
WFC,44.36,Buy,,,
XLNX,103.29,Buy,,,
XOM,68.75,Buy,,,
